Anbieter,Postleitzahl,Jahresverbrauch,Abschlagszahlung,Grundpreis,Arbeitspreis,Wechselbonus,Sofortbonus,Preisgarantie,Vertragslaufzeit,Verlängerung,Kündigungsfrist,Preis im 1. Jahr,Jährliche Gutschrift,Arbeitspreisrabatt,Neukundenbonus,Abschlagsrabatt,Laufzeitbonus im 1. Jahr,Vorauszahlung: jährlich,Online-Abschluss,Zzgl. Treuebonus,Aktionsrabatt,CHECK24 Sofortbonus,Online-Rabatt
Stadtwerke Haltern am See GmbH,10969,7.000 kWh,monatlich,"4,37 €/Monat (52,44 €/Jahr)","27,86 Cent/kWh",NA,NA,36 Monate Preisfixierung,36 Monate,12 Monate,6 Wochen zum Ende der Lieferzeit,"2.002,64 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E.VITA GmbH,10969,7.000 kWh,monatlich,"8,65 €/Monat (103,82 €/Jahr)","27,13 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2021,12 Monate,12 Monate,1 Monat zum Monatsende,"2.002,66 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elogico - Eine Marke der ENSTROGA AG,10969,7.000 kWh,monatlich,"12,46 €/Monat (149,49 €/Jahr)","26,48 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,1 Monat,4 Wochen zum Vertragsende,"2.003,09 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1 Energie AG,10969,7.000 kWh,monatlich,"8,93 €/Monat (107,16 €/Jahr)","27,10 Cent/kWh",NA,NA,12 Monate Energiepreisgarantie,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.004,16 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HBL Nord-Energie GmbH,10969,7.000 kWh,monatlich,"8,88 €/Monat (106,52 €/Jahr)","27,11 Cent/kWh",NA,NA,12 Monate Preisgarantie,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.004,22 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
die energievorsorger GmbH,10969,7.000 kWh,monatlich,"6,50 €/Monat (78,00 €/Jahr)","27,52 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Vertragsende,"2.004,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enQu GmbH,10969,7.000 kWh,monatlich,"9,87 €/Monat (118,41 €/Jahr)","26,96 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Monatsende,"2.005,73 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Merseburg GmbH,10969,7.000 kWh,monatlich,"8,25 €/Monat (99,00 €/Jahr)","27,25 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.006,50 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Münster GmbH,10969,7.000 kWh,monatlich,"5,74 €/Monat (68,92 €/Jahr)","27,68 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,4 Wochen zum Vertragsende,"2.006,73 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIRENERGIE - Eine Marke der Energiehaus Dresden eG,10969,7.000 kWh,monatlich,"7,14 €/Monat (85,68 €/Jahr)","27,47 Cent/kWh",NA,NA,Preisgarantie bis 31.12.2020,bis 31.12.2020,12 Monate,1 Monat,"2.008,24 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KiezStrom - Eine Marke der LichtBlick SE,10969,7.000 kWh,monatlich,"9,95 €/Monat (119,40 €/Jahr)","26,99 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.008,70 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GASAG AG,10969,7.000 kWh,monatlich,"7,90 €/Monat (94,80 €/Jahr)","27,35 Cent/kWh",NA,NA,12 Monate Energiepreisgarantie,1 Monat,1 Monat,1 Monat zum Monatsende,"2.009,30 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWK ENERGIE GmbH,10969,7.000 kWh,monatlich,"11,33 €/Monat (136,01 €/Jahr)","27,88 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,2 Wochen zum Vertragsende,"2.010,62 €/Jahr",NA,NA,77 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
"GGEW, Gruppen-Gas- und Elektrizitätswerk Bergstraße Aktiengesellschaft",10969,7.000 kWh,monatlich,"9,50 €/Monat (114,00 €/Jahr)","27,10 Cent/kWh",NA,NA,Preisgarantie bis 31.10.2021,bis 31.10.2021,12 Monate,1 Monat zum Vertragsende,"2.010,74 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
energy4u GmbH & Co. KG,10969,7.000 kWh,monatlich,"8,33 €/Monat (99,96 €/Jahr)","27,31 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,1 Monat zum Monatsende,"2.011,70 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purenergy - Eine Marke der PST Europe Sales GmbH,10969,7.000 kWh,monatlich,"14,88 €/Monat (178,51 €/Jahr)","26,64 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.013,43 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,30 € einmalig,NA
SWK ENERGIE GmbH,10969,7.000 kWh,monatlich,"10,33 €/Monat (124,01 €/Jahr)","28,12 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,2 Wochen zum Vertragsende,"2.015,42 €/Jahr",NA,NA,77 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
WIRENERGIE - Eine Marke der Energiehaus Dresden eG,10969,7.000 kWh,monatlich,"7,14 €/Monat (85,68 €/Jahr)","27,58 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,4 Wochen zum Monatsende,"2.016,57 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ehinger Energie Stromvertrieb GmbH & Co. KG,10969,7.000 kWh,monatlich,"9,00 €/Monat (108,00 €/Jahr)","27,28 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.017,60 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R(H)EINPOWER - Eine Marke der Stadtwerke Duisburg AG,10969,7.000 kWh,monatlich,"12,89 €/Monat (154,62 €/Jahr)","27,77 Cent/kWh",NA,NA,24 Monate Preisfixierung,1 Monat,1 Monat,1 Monat zum Monatsende,"2.018,52 €/Jahr",NA,NA,80 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Münster GmbH,10969,7.000 kWh,monatlich,"6,74 €/Monat (80,92 €/Jahr)","27,68 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,4 Wochen zum Vertragsende,"2.018,73 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enQu GmbH,10969,7.000 kWh,monatlich,"11,06 €/Monat (132,69 €/Jahr)","26,96 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,4 Wochen zum Monatsende,"2.020,01 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enyway GmbH,10969,7.000 kWh,monatlich,"6,38 €/Monat (76,56 €/Jahr)","29,05 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,4 Wochen zum Monatsende,"2.020,06 €/Jahr",NA,NA,90 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
enQu GmbH,10969,7.000 kWh,monatlich,"9,87 €/Monat (118,41 €/Jahr)","27,17 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Monatsende,"2.020,31 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STADTWERK AM SEE GmbH & Co. KG,10969,7.000 kWh,monatlich,"9,35 €/Monat (112,24 €/Jahr)","27,26 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.020,64 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
immergrün! energie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"168,39 €/Monat (2.020,67 €/Jahr)","45,00 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.020,67 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark-E Aktiengesellschaft,10969,7.000 kWh,monatlich,"7,93 €/Monat (95,21 €/Jahr)","27,51 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,1 Monat zum Monatsende,"2.020,91 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Kleve GmbH,10969,7.000 kWh,monatlich,"6,07 €/Monat (72,83 €/Jahr)","27,83 Cent/kWh",NA,NA,Energiepreisgarantie bis 31.12.2021,bis 31.12.2021,1 Monat,14 Tage,"2.021,22 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SE SAUBER ENERGIE GmbH & Co. KG,10969,7.000 kWh,monatlich,"5,36 €/Monat (64,26 €/Jahr)","27,97 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"2.021,81 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STROGON GmbH,10969,7.000 kWh,monatlich,"12,52 €/Monat (150,29 €/Jahr)","26,74 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,4 Wochen zum Vertragsende,"2.022,29 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark-E Aktiengesellschaft,10969,7.000 kWh,monatlich,"7,93 €/Monat (95,21 €/Jahr)","27,54 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"2.023,01 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWE Vertrieb GmbH,10969,7.000 kWh,monatlich,"8,43 €/Monat (101,16 €/Jahr)","27,46 Cent/kWh",NA,NA,12 Monate Nettopreisgarantie,12 Monate,12 Monate,1 Monat zum Vertragsende,"2.023,14 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enQu GmbH,10969,7.000 kWh,monatlich,"11,06 €/Monat (132,69 €/Jahr)","27,03 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,4 Wochen zum Monatsende,"2.024,68 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIRENERGIE - Eine Marke der Energiehaus Dresden eG,10969,7.000 kWh,monatlich,"7,14 €/Monat (85,68 €/Jahr)","27,70 Cent/kWh",NA,NA,Preisgarantie bis 31.12.2020,bis 31.12.2020,12 Monate,1 Monat,"2.024,90 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Heidenheim AG,10969,7.000 kWh,monatlich,"7,02 €/Monat (84,25 €/Jahr)","27,75 Cent/kWh",NA,NA,keine,keine Angabe,keine Angabe,keine Angabe,"2.026,75 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWK ENERGIE GmbH,10969,7.000 kWh,monatlich,"11,33 €/Monat (136,01 €/Jahr)","28,12 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,2 Wochen zum Vertragsende,"2.027,42 €/Jahr",NA,NA,77 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
enQu GmbH,10969,7.000 kWh,monatlich,"14,13 €/Monat (169,58 €/Jahr)","26,54 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,4 Wochen zum Monatsende,"2.027,50 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123energie - Eine Marke der PFALZWERKE AKTIENGESELLSCHAFT,10969,7.000 kWh,monatlich,"16,39 €/Monat (196,70 €/Jahr)","27,45 Cent/kWh",NA,NA,24 Monate Nettopreisgarantie,24 Monate,12 Monate,6 Wochen zum Vertragsende,"2.028,43 €/Jahr",NA,NA,NA,90 € einmalig,NA,NA,NA,NA,NA,NA,NA
Q1 Energie AG,10969,7.000 kWh,monatlich,"8,93 €/Monat (107,16 €/Jahr)","27,46 Cent/kWh",NA,NA,1 Monate Energiepreisgarantie,1 Monat,1 Monat,2 Wochen zum Vertragsende,"2.029,36 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STADTWERK AM SEE GmbH & Co. KG,10969,7.000 kWh,monatlich,"8,76 €/Monat (105,10 €/Jahr)","27,50 Cent/kWh",NA,NA,12 Monate Preisfixierung,24 Monate,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.030,16 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HBL Nord-Energie GmbH,10969,7.000 kWh,monatlich,"8,88 €/Monat (106,52 €/Jahr)","27,49 Cent/kWh",NA,NA,12 Monate Preisgarantie,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.030,82 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fuxx - Die Sparenergie GmbH,10969,7.000 kWh,monatlich,"12,92 €/Monat (155,05 €/Jahr)","26,80 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,4 Wochen zum Vertragsende,"2.031,21 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GGEW, Gruppen-Gas- und Elektrizitätswerk Bergstraße Aktiengesellschaft",10969,7.000 kWh,monatlich,"9,50 €/Monat (114,00 €/Jahr)","27,39 Cent/kWh",NA,NA,Preisgarantie bis 31.10.2021,bis 31.10.2021,12 Monate,1 Monat zum Vertragsende,"2.031,57 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIRENERGIE - Eine Marke der Energiehaus Dresden eG,10969,7.000 kWh,monatlich,"7,14 €/Monat (85,68 €/Jahr)","27,82 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,4 Wochen zum Monatsende,"2.033,23 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAINGAU Energie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","29,08 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Vertragsende,"2.035,60 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STROGON GmbH,10969,7.000 kWh,monatlich,"215,31 €/Monat (2.583,73 €/Jahr)","45,00 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.039,05 €/Jahr",NA,NA,25 % auf Rechnungsbetrag (679 € ),NA,NA,NA,NA,NA,NA,NA,NA
enQu GmbH,10969,7.000 kWh,monatlich,"14,13 €/Monat (169,58 €/Jahr)","26,75 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,4 Wochen zum Monatsende,"2.042,08 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Stadtroda GmbH,10969,7.000 kWh,monatlich,"7,50 €/Monat (90,00 €/Jahr)","27,90 Cent/kWh",NA,NA,keine,12 Monate,12 Monate,1 Monat vor Ende der Laufzeit,"2.043,00 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grüner Funke - Eine Marke der Fuxx - Die Sparenergie GmbH,10969,7.000 kWh,monatlich,"13,91 €/Monat (166,95 €/Jahr)","26,80 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,4 Wochen zum Vertragsende,"2.043,11 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Kleve GmbH,10969,7.000 kWh,monatlich,"6,07 €/Monat (72,83 €/Jahr)","27,83 Cent/kWh",NA,NA,Energiepreisgarantie bis 31.12.2021,bis 31.12.2021,1 Monat,14 Tage,"2.045,21 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Kleve GmbH,10969,7.000 kWh,monatlich,"6,07 €/Monat (72,83 €/Jahr)","27,83 Cent/kWh",NA,NA,Energiepreisgarantie bis 31.12.2021,bis 31.12.2021,1 Monat,14 Tage,"2.045,21 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FairEnergie GmbH,10969,7.000 kWh,monatlich,"12,59 €/Monat (151,13 €/Jahr)","28,11 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,3 Monate vor Ablauf der Laufzeit,"2.046,68 €/Jahr",NA,NA,72 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Münster GmbH,10969,7.000 kWh,monatlich,"5,74 €/Monat (68,92 €/Jahr)","28,28 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.048,38 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
immergrün! energie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"216,89 €/Monat (2.602,73 €/Jahr)","45,00 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,12 Wochen zum Vertragsende,"2.053,30 €/Jahr",NA,NA,25 % auf Rechnungsbetrag (684 € ),NA,NA,NA,NA,NA,NA,NA,NA
Polarstern GmbH,10969,7.000 kWh,monatlich,"9,80 €/Monat (117,60 €/Jahr)","27,67 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,2 Wochen zum Vertragsende,"2.054,50 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Merseburg GmbH,10969,7.000 kWh,monatlich,"10,00 €/Monat (120,00 €/Jahr)","27,64 Cent/kWh",NA,NA,keine,12 Monate,12 Monate,1 Monat vor Ende der Laufzeit,"2.054,80 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BayWa Ökoenergie GmbH,10969,7.000 kWh,monatlich,"7,76 €/Monat (93,17 €/Jahr)","28,76 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,1 Monat,1 Monat zum Monatsende,"2.056,09 €/Jahr",NA,NA,50 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
EWE Vertrieb GmbH,10969,7.000 kWh,monatlich,"8,43 €/Monat (101,16 €/Jahr)","27,93 Cent/kWh",NA,NA,keine,2 Wochen,2 Wochen,14 Tage zum Vertragsende,"2.056,46 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
envia Mitteldeutsche Energie AG,10969,7.000 kWh,monatlich,"10,41 €/Monat (124,95 €/Jahr)","27,82 Cent/kWh",NA,NA,12 Monate Preisgarantie,12 Monate,12 Monate,1 Monat zum Monatsende,"2.060,35 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12 €/Jahr
Stadtwerke Münster GmbH,10969,7.000 kWh,monatlich,"6,74 €/Monat (80,92 €/Jahr)","28,28 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.060,38 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Eisenberg Energie GmbH,10969,7.000 kWh,jährlich,"8,83 €/Monat (106,00 €/Jahr)","28,43 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,keine Angabe,"2.061,10 €/Jahr",NA,NA,NA,NA,NA,"0,50 Ct./kWh",NA,NA,NA,NA,NA
die energievorsorger GmbH,10969,7.000 kWh,monatlich,"8,50 €/Monat (102,00 €/Jahr)","28,51 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,1 Monat zum Vertragsende,"2.067,70 €/Jahr",NA,NA,30 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
FairEnergie GmbH,10969,7.000 kWh,monatlich,"14,68 €/Monat (176,12 €/Jahr)","28,11 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,3 Monate vor Ablauf der Laufzeit,"2.071,67 €/Jahr",NA,NA,72 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
ENNI Energie & Umwelt Niederrhein GmbH,10969,7.000 kWh,monatlich,"4,96 €/Monat (59,51 €/Jahr)","28,75 Cent/kWh",NA,NA,Energiepreisgarantie bis 30.06.2023,bis 30.06.2021,12 Monate,6 Wochen zum Ende der Lieferzeit,"2.072,04 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PROKON Regenerative Energien eG,10969,7.000 kWh,monatlich,"7,07 €/Monat (84,90 €/Jahr)","28,40 Cent/kWh",NA,NA,12 Monate Preisgarantie,1 Monat,1 Monat,2 Wochen zum Ende des Kalendermonats,"2.072,90 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Torgau GmbH,10969,7.000 kWh,monatlich,"9,63 €/Monat (115,53 €/Jahr)","27,98 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,4 Wochen zum Monatsende,"2.073,91 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEW Niederrhein Energie und Wasser GmbH,10969,7.000 kWh,monatlich,"12,74 €/Monat (152,90 €/Jahr)","28,24 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"2.074,35 €/Jahr",NA,NA,56 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Stadtroda GmbH,10969,7.000 kWh,monatlich,"7,50 €/Monat (90,00 €/Jahr)","28,40 Cent/kWh",NA,NA,keine,12 Monate,12 Monate,1 Monat vor Ende der Laufzeit,"2.078,00 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BayWa Ökoenergie GmbH,10969,7.000 kWh,monatlich,"7,76 €/Monat (93,17 €/Jahr)","29,07 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,1 Monat,1 Monat zum Monatsende,"2.078,27 €/Jahr",NA,NA,50 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
LichtBlick SE,10969,7.000 kWh,monatlich,"9,95 €/Monat (119,40 €/Jahr)","27,99 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,4 Wochen zum Monatsende,"2.078,70 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sparstrom - Eine Marke der sparstrom Energievertriebs GmbH,10969,7.000 kWh,monatlich,"10,22 €/Monat (122,67 €/Jahr)","27,97 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,4 Wochen zum Vertragsende,"2.080,22 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STROGON GmbH,10969,7.000 kWh,monatlich,"220,29 €/Monat (2.643,44 €/Jahr)","45,00 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Vertragsende,"2.083,83 €/Jahr",NA,NA,25 % auf Rechnungsbetrag (694 € ),NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Düsseldorf AG,10969,7.000 kWh,monatlich,"11,03 €/Monat (132,39 €/Jahr)","27,91 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,14 Tage,"2.085,77 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sparstrom - Eine Marke der sparstrom Energievertriebs GmbH,10969,7.000 kWh,monatlich,"10,22 €/Monat (122,67 €/Jahr)","28,08 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Vertragsende,"2.088,55 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PassatEnergie - Eine Marke der PassatEnergie GmbH,10969,7.000 kWh,monatlich,"9,94 €/Monat (119,24 €/Jahr)","28,14 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.089,28 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ehinger Energie Stromvertrieb GmbH & Co. KG,10969,7.000 kWh,monatlich,"9,50 €/Monat (114,00 €/Jahr)","28,24 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.090,80 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Cottbus GmbH,10969,7.000 kWh,monatlich,"8,33 €/Monat (99,96 €/Jahr)","28,49 Cent/kWh",NA,NA,keine,12 Monate,12 Monate,1 Monat zum Vertragsende,"2.094,16 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
envia Mitteldeutsche Energie AG,10969,7.000 kWh,monatlich,"10,41 €/Monat (124,95 €/Jahr)","28,32 Cent/kWh",NA,NA,24 Monate Preisgarantie,24 Monate,12 Monate,1 Monat zum Monatsende,"2.095,35 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12 €/Jahr
EWE Vertrieb GmbH,10969,7.000 kWh,monatlich,"9,45 €/Monat (113,37 €/Jahr)","28,32 Cent/kWh",NA,NA,12 Monate Preisgarantie,12 Monate,12 Monate,1 Monat zum Vertragsende,"2.095,91 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Eisenberg Energie GmbH,10969,7.000 kWh,monatlich,"8,83 €/Monat (106,00 €/Jahr)","28,43 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,keine Angabe,"2.096,10 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ubitricity Gesellschaft für verteilte Energiesysteme mbH,10969,7.000 kWh,monatlich,"8,49 €/Monat (101,88 €/Jahr)","28,49 Cent/kWh",NA,NA,keine,6 Monate,1 Monat,6 Wochen zum Quartalsende,"2.096,18 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ExtraEnergie GmbH,10969,7.000 kWh,monatlich,"7,12 €/Monat (85,44 €/Jahr)","28,80 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Monatsende,"2.101,44 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Voltera - Eine Marke der Energy2Day GmbH,10969,7.000 kWh,monatlich,"8,20 €/Monat (98,40 €/Jahr)","28,64 Cent/kWh",NA,NA,3 Monate Nettopreisgarantie,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.103,20 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vattenfall Europe Sales GmbH,10969,7.000 kWh,monatlich,"8,80 €/Monat (105,60 €/Jahr)","28,54 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,1 Monat zum Ende eines Kalendermonats,"2.103,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
